Episode,A3C_Score,A2C_Score,ACER_Score
466,18.0,57.0,23.0
467,83.0,40.0,16.0
468,52.0,35.0,22.0
469,36.0,37.0,28.0
470,34.0,50.0,22.0
471,30.0,33.0,23.0
472,15.0,29.0,45.0
473,26.0,17.0,21.0
474,79.0,17.0,32.0
475,42.0,54.0,33.0
476,26.0,14.0,80.0
477,28.0,30.0,44.0
478,17.0,59.0,136.0
479,30.0,18.0,45.0
480,37.0,58.0,84.0
481,25.0,24.0,22.0
482,45.0,27.0,28.0
483,16.0,15.0,24.0
484,45.0,21.0,75.0
485,14.0,47.0,32.0
486,15.0,19.0,28.0
487,21.0,16.0,46.0
488,47.0,36.0,35.0
489,19.0,85.0,85.0
490,94.0,95.0,23.0
491,30.0,23.0,174.0
492,33.0,27.0,78.0
493,43.0,28.0,74.0
494,28.0,14.0,53.0
495,27.0,16.0,109.0
496,12.0,29.0,53.0
497,27.0,45.0,31.0
498,16.0,27.0,61.0
499,35.0,38.0,61.0
500,41.0,21.0,50.0
501,34.0,32.0,32.0
502,37.0,33.0,30.0
503,41.0,29.0,24.0
504,49.0,48.0,70.0
505,23.0,31.0,46.0
506,39.0,19.0,31.0
507,47.0,24.0,47.0
508,71.0,41.0,28.0
509,16.0,23.0,17.0
510,26.0,64.0,24.0
511,10.0,90.0,30.0
512,74.0,40.0,36.0
513,29.0,36.0,32.0
514,75.0,38.0,17.0
515,102.0,30.0,84.0
516,42.0,18.0,28.0
517,91.0,34.0,52.0
518,39.0,76.0,48.0
519,16.0,22.0,69.0
520,48.0,39.0,52.0
521,28.0,40.0,51.0
522,37.0,41.0,26.0
523,45.0,28.0,42.0
524,42.0,68.0,55.0
525,33.0,28.0,39.0
526,26.0,39.0,29.0
527,42.0,18.0,29.0
528,43.0,40.0,49.0
529,50.0,26.0,40.0
530,25.0,30.0,55.0
531,25.0,55.0,73.0
532,22.0,168.0,34.0
533,45.0,53.0,33.0
534,11.0,23.0,19.0
535,24.0,16.0,57.0
536,50.0,21.0,28.0
537,83.0,52.0,22.0
538,19.0,69.0,35.0
539,75.0,73.0,40.0
540,12.0,19.0,25.0
541,60.0,25.0,57.0
542,18.0,65.0,35.0
543,44.0,58.0,75.0
544,66.0,28.0,62.0
545,66.0,37.0,66.0
546,87.0,25.0,34.0
547,13.0,48.0,75.0
548,16.0,50.0,60.0
549,26.0,27.0,150.0
550,46.0,31.0,115.0
551,20.0,116.0,96.0
552,81.0,23.0,92.0
553,48.0,34.0,40.0
554,19.0,19.0,234.0
555,23.0,61.0,126.0
556,19.0,37.0,286.0
557,17.0,78.0,71.0
558,64.0,57.0,72.0
559,26.0,21.0,135.0
560,46.0,46.0,112.0
561,29.0,55.0,39.0
562,73.0,44.0,100.0
563,79.0,28.0,62.0
564,33.0,65.0,36.0
565,63.0,32.0,60.0
566,45.0,18.0,59.0
567,17.0,27.0,31.0
568,20.0,95.0,75.0
569,33.0,66.0,69.0
570,56.0,28.0,168.0
571,39.0,58.0,209.0
572,20.0,28.0,156.0
573,61.0,61.0,89.0
574,59.0,30.0,143.0
575,33.0,49.0,90.0
576,53.0,69.0,169.0
577,26.0,16.0,72.0
578,63.0,30.0,71.0
579,87.0,78.0,107.0
580,56.0,84.0,126.0
581,64.0,44.0,205.0
582,79.0,24.0,83.0
583,14.0,47.0,190.0
584,45.0,46.0,441.0
585,63.0,15.0,125.0
586,67.0,48.0,247.0
587,31.0,34.0,19.0
588,36.0,32.0,44.0
589,14.0,57.0,39.0
590,57.0,39.0,91.0
591,39.0,79.0,143.0
592,87.0,33.0,94.0
593,70.0,26.0,87.0
594,16.0,20.0,132.0
595,22.0,21.0,192.0
596,21.0,48.0,129.0
597,22.0,24.0,105.0
598,89.0,19.0,73.0
599,45.0,40.0,92.0
600,38.0,30.0,54.0
601,34.0,45.0,32.0
602,44.0,31.0,104.0
603,20.0,36.0,32.0
604,27.0,21.0,102.0
605,31.0,97.0,74.0
606,25.0,29.0,113.0
607,14.0,60.0,90.0
608,58.0,37.0,85.0
609,25.0,63.0,40.0
610,96.0,70.0,149.0
611,29.0,61.0,116.0
612,49.0,16.0,62.0
613,19.0,44.0,98.0
614,24.0,55.0,144.0
615,18.0,44.0,106.0
616,68.0,33.0,58.0
617,50.0,42.0,37.0
618,45.0,119.0,39.0
619,27.0,37.0,95.0
620,18.0,42.0,201.0
621,32.0,108.0,71.0
622,72.0,52.0,81.0
623,18.0,59.0,107.0
624,15.0,82.0,28.0
625,16.0,58.0,80.0
626,28.0,52.0,65.0
627,41.0,36.0,79.0
628,51.0,32.0,64.0
629,19.0,26.0,183.0
630,24.0,34.0,110.0
631,47.0,35.0,122.0
632,30.0,34.0,142.0
633,27.0,13.0,109.0
634,22.0,85.0,101.0
635,50.0,31.0,147.0
636,17.0,53.0,80.0
637,20.0,71.0,39.0
638,12.0,53.0,100.0
639,64.0,79.0,86.0
640,159.0,54.0,90.0
641,13.0,26.0,128.0
642,105.0,16.0,42.0
643,21.0,163.0,23.0
644,22.0,27.0,67.0
645,41.0,32.0,93.0
